see	видеть
be	быть, есть, являться
come	приходить, приезжать
want	хотеть
look	смотреть
use	использовать
find	находить
give	давать
tell	рассказывать, говорить
work	работать
call	называть, звать, звонить
try	пробовать
ask	спрашивать, просить
need	нуждаться, требоваться
feel	чувствовать
become	становиться
do	делать
make	делать, изготавливать
leave	оставлять, покидать
put	класть
mean	значить
keep	держать,
let	позволять
begin	начинать
seem	казаться
help	помогать
talk	разговаривать
turn	поворачивать
start	начинать, стартовать
show	показывать
hear	слышать
play	играть
run	бежать
move	двигать
like	нравиться
live	жить
believe	верить, полагать
hold	держать
bring	приносить
happen	происходить, случаться
write	писать
provide	обеспечивать, предоставлять
sit	сидеть
stand	стоять
lose	терять, проигрывать
pay	платить
meet	встречать
include	включать, содержать
continue	продолжать
set	устанавливать, ставить
learn	учить
change	изменять
lead	руководить, вести
understand	понимать
watch	смотреть, следить
follow	следовать
stop	остановить, прекращать
create	создавать
speak	говорить
read	читать
allow	разрешать, позволять
add	добавлять
spend	тратить
grow	расти, выращивать
open	открывать
walk	ходить, идти пешком
win	побеждать
offer	предлагать
remember	помнить
love	любить
consider	рассматривать, считать
appear	появляться
buy	покупать
wait	ждать
serve	обслуживать
die	умирать
send	слать
expect	ожидать
build	строить
stay	остановиться, оставаться
fall	падать
cut	резать
reach	достигать
kill	убивать
remain	оставаться
suggest	предлагать
raise	поднимать, повышение
pass	передавать, проходить
sell	продавать
require	требовать
report	докладывать, сообщать
decide	решать
pull	тянуть, вытащить
help	помогать
read	читать
